frame_count,mean_iou,median_iou,success_auc,mean_normalized_center_error,median_normalized_center_error,update_success_rate,longest_low_iou_streak_frames,first_failure_frame,time_to_first_failure_sec,success_rate_iou_025,success_rate_iou_050,success_rate_iou_075,video_stem,tracker_name,variant_name,ratio,target_bitrate_bps,actual_bitrate_bps
607,0.4348323659006294,0.3985122210414453,0.43301829532645447,0.20653528961508158,0.23684849855894183,1.0,19,588,19.6,0.7841845140032949,0.29654036243822074,0.15485996705107083,traffic,csrt,r0p02,0.02,644706,622528
607,0.9909320087783873,1.0,0.9942772912511922,0.002575633291276577,0.0,1.0,0,-1,,1.0,1.0,1.0,traffic,kcf,r0p3,0.3,9670595,9693418
607,0.9923459515854873,1.0,0.9955779068759213,0.00219361054398801,0.0,1.0,0,-1,,1.0,1.0,1.0,traffic,kcf,r0p15,0.15,4835297,4921908
607,0.9842299755358773,1.0,0.9901153212520593,0.004284462435918226,0.0,1.0,0,-1,,1.0,1.0,1.0,traffic,kcf,r0p08,0.08,2578825,2701680
607,0.9560309190702427,0.9714285714285714,0.9760686725049857,0.012278911815869653,0.013111160561322286,1.0,0,-1,,1.0,1.0,1.0,traffic,kcf,r0p04,0.04,1289412,1359606
607,0.8299154986229185,0.8602239734549979,0.8432324633659933,0.04300453484137336,0.03708396216854644,1.0,0,-1,,1.0,1.0,0.7380560131795717,traffic,kcf,r0p02,0.02,644706,622528
580,0.8519803070155598,0.8902179691653376,0.8712341197822141,0.015442277826409829,0.008404372219363996,1.0,0,-1,,1.0,1.0,0.7448275862068966,walk_into_sun,csrt,r0p3,0.3,6432795,6380470
580,0.9142870051524199,0.9234564318363201,0.9381125226860254,0.008904839027156058,0.0055653128049708645,1.0,0,-1,,1.0,1.0,0.993103448275862,walk_into_sun,csrt,r0p15,0.15,3216397,3212916
580,0.6927463360802665,0.6208236796451188,0.7030852994555353,0.031125999262247444,0.03546814112398844,1.0,0,-1,,1.0,0.8241379310344827,0.38448275862068965,walk_into_sun,csrt,r0p08,0.08,1715412,1730585
580,0.7604371105135788,0.7606915204669134,0.7748638838475499,0.023623163816847266,0.022112207849220814,1.0,0,-1,,1.0,0.9982758620689656,0.5362068965517242,walk_into_sun,csrt,r0p04,0.04,857706,878089
580,0.7521760249745677,0.8544360233614721,0.7685117967332122,0.03379641860785898,0.011598606876949405,1.0,0,-1,,1.0,0.7586206896551724,0.6551724137931034,walk_into_sun,csrt,r0p02,0.02,428853,445527
580,0.13768408577756286,0.0,0.1379310344827586,0.8621590095082468,1.0,0.13793103448275862,475,74,2.469133333333333,0.13793103448275862,0.13793103448275862,0.13793103448275862,walk_into_sun,kcf,r0p3,0.3,6432795,6380470
